time,channel_idx
47479.6,87
47479.6,240
47479.9,195
47479.9,229
47480.8,71
47480.9,100
47480.9,220
47481.200000000004,86
47481.3,1
47481.4,150
47481.4,230
47481.8,240
47482.1,195
47482.200000000004,52
47482.6,54
47482.6,229
47482.9,193
47483.0,100
47483.6,220
47483.8,45
47484.1,1
47484.3,97
47484.3,195
47484.700000000004,182
47484.9,54
47485.1,150
47485.1,193
47485.9,220
47485.9,229
47486.1,86
47486.200000000004,87
47486.4,125
47486.5,45
47486.6,195
47486.700000000004,7
47486.700000000004,65
47486.700000000004,230
47486.8,4
47487.200000000004,1
47487.200000000004,100
47487.3,54
47487.3,150
47487.9,89
47488.1,229
47488.4,240
47488.5,87
47488.700000000004,182
47488.8,86
47489.0,49
47489.3,195
47489.5,7
47489.5,54
47489.5,239
47489.9,1
47490.200000000004,45
47490.5,125
47490.5,171
47491.200000000004,71
47491.200000000004,229
47491.3,93
47491.3,240
47491.6,220
47491.8,54
47492.0,1
47492.5,65
47492.5,182
47492.5,195
47493.200000000004,193
47494.4,54
47494.700000000004,229
47495.0,220
47495.1,65
47495.200000000004,1
47495.6,71
47496.5,54
47497.1,195
47497.4,65
47497.700000000004,150
47498.200000000004,125
47498.3,193
47498.700000000004,45
47498.700000000004,54
47499.0,78
47499.1,7
47499.1,42
47499.3,229
47499.6,86
47499.700000000004,195
47499.8,87
47500.5,240
47500.6,182
47500.700000000004,1
47500.8,45
47500.9,83
47501.4,229
47501.6,100
47501.6,202
47501.700000000004,171
47501.9,78
47501.9,86
47502.5,65
47502.5,150
47502.700000000004,195
47502.8,182
47502.8,230
47503.3,45
47503.3,54
47503.4,107
47503.700000000004,87
47503.8,240
47503.9,100
47504.1,193
47504.5,97
47504.6,71
47504.700000000004,86
47504.9,1
47504.9,182
47505.1,65
47505.1,230
47505.4,239
47505.700000000004,195
47506.0,103
47506.200000000004,54
47506.4,87
47506.5,100
47506.700000000004,71
47506.700000000004,97
47506.9,86
47506.9,229
47507.200000000004,65
47507.3,93
47507.5,220
47507.6,1
47507.6,193
47507.8,89
47508.1,195
47508.700000000004,87
47508.700000000004,100
47509.0,54
47509.1,45
47509.1,229
47509.700000000004,86
47509.700000000004,93
47509.8,8
47510.200000000004,71
47510.200000000004,107
47510.8,1
47510.8,97
47510.9,100
47511.700000000004,87
47511.9,240
47512.1,54
47512.200000000004,86
47512.200000000004,182
47512.4,195
47512.5,229
47512.8,65
47513.0,125
47513.0,220
47513.1,97
47513.4,93
47513.6,71
47513.6,89
47513.6,100
47513.6,107
47514.4,86
47514.4,87
47514.6,1
47514.8,54
47514.9,45
47515.200000000004,65
47515.200000000004,195
47515.200000000004,230
47515.3,125
47515.4,182
47515.9,71
47515.9,100
47516.0,93
47516.200000000004,103
47516.200000000004,150
47516.3,95
47516.5,52
47516.6,89
47517.0,45
47517.1,97
47517.200000000004,87
47517.3,54
47517.3,56
47517.4,1
47517.4,65
47517.6,125
47517.9,182
47518.0,92
47518.0,229
47518.5,71
47518.5,86
47518.700000000004,195
47518.9,93
47518.9,150
47518.9,220
47519.200000000004,45
47519.200000000004,100
47519.3,171
47519.5,49
47519.6,87
47519.700000000004,193
47519.9,54
47520.1,186
47520.200000000004,65
47520.200000000004,182
47520.3,89
47520.3,125
47520.4,189
47520.6,71
47520.700000000004,83
47520.700000000004,92
47521.0,150
47521.1,195
47521.3,1
47521.5,93
47521.5,197
47521.6,98
47521.700000000004,87
47522.0,54
47522.1,86
47522.1,100
47522.200000000004,193
47522.4,97
47522.5,182
47522.5,189
47522.6,107
47522.700000000004,89
47522.8,71
47523.0,45
47523.1,65
47523.1,125
47523.1,150
47523.200000000004,171
47523.4,103
47523.5,1
47523.5,92
47523.5,230
47523.9,93
47523.9,186
47524.200000000004,60
47524.3,87
47524.4,54
47524.5,100
47524.6,193
47524.700000000004,229
47524.8,220
47525.0,89
47525.0,175
47525.0,195
47525.0,240
47525.200000000004,65
47525.3,45
47525.5,125
47525.5,239
47525.6,150
47525.700000000004,1
47525.9,182
47526.0,71
47526.0,78
47526.0,92
47526.5,87
47526.5,230
47526.6,185
47526.700000000004,52
47526.9,54
47526.9,100
47526.9,189
47527.3,93
47527.4,175
47527.6,45
47527.6,125
47527.6,195
47527.6,229
47527.700000000004,81
47527.8,98
47527.9,42
47527.9,193
47528.1,97
47528.200000000004,86
47528.3,182
47528.5,1
47528.5,220
47528.6,239
47528.700000000004,71
47528.700000000004,87
47528.700000000004,150
47528.8,240
47529.0,54
47529.0,65
47529.1,100
47529.4,164
47529.700000000004,45
47529.8,8
47529.8,59
47530.0,89
47530.0,229
47530.1,230
47530.200000000004,189
47530.3,171
47530.6,86
47530.6,193
47530.8,1
47530.8,87
47530.8,220
47530.9,239
47531.0,7
47531.1,182
47531.200000000004,4
47531.200000000004,240
47531.4,54
47531.6,195
47531.700000000004,65
47531.700000000004,71
47531.9,125
47532.200000000004,230
47532.3,6
47532.3,100
47532.5,56
47532.700000000004,229
47532.8,150
47532.9,86
47533.0,45
47533.3,87
47533.5,182
47533.6,1
47534.0,7
47534.3,54
47534.3,65
47534.5,185
47534.5,195
47534.6,89
47534.6,193
47534.8,229
47534.9,100
47535.1,71
47535.200000000004,93
47535.3,240
47535.4,45
47535.6,150
47535.8,1
47535.8,4
47535.8,182
47535.8,189
47536.1,86
47536.1,92
47536.200000000004,220
47536.5,230
47536.6,195
47536.700000000004,65
47536.9,49
47536.9,193
47537.0,100
47537.0,229
47537.1,78
47537.200000000004,54
47537.200000000004,97
47537.4,71
47537.4,93
47537.8,87
47537.8,89
47537.8,125
47537.9,186
47537.9,240
47538.1,171
47538.3,182
47538.4,45
47538.6,86
47538.8,150
47538.9,185
47539.4,92
47539.6,193
47539.6,195
47539.9,93
47539.9,100
47540.1,54
47540.4,59
47540.5,71
47540.5,125
47540.8,229
47540.9,1
47540.9,45
47541.200000000004,182
47541.200000000004,220
47541.4,87
47541.4,98
47541.8,193
47542.4,54
47542.6,65
47542.9,49
47542.9,71
47543.0,195
47543.200000000004,1
47543.4,240
47543.9,87
47543.9,98
47544.1,100
47544.200000000004,229
47544.4,89
47544.4,182
47544.4,193
47544.6,7
47544.700000000004,220
47545.1,54
47545.3,195
47545.3,230
47545.5,71
47545.700000000004,1
47546.5,4
47546.5,100
47547.5,164
47547.700000000004,87
47547.9,1
47547.9,54
47548.200000000004,89
47548.8,93
47548.9,100
47549.1,195
47549.9,78
47550.3,89
47552.8,1
47553.700000000004,100
47555.3,54
47555.9,100
47556.0,89
47556.6,229
47560.4,164
47563.700000000004,54
47566.4,100
47567.200000000004,89
47567.700000000004,54
47568.3,65
47577.1,229
47578.5,125
47592.4,100
47599.5,84
47609.0,54
47609.700000000004,78
47641.9,84
47768.5,13
47779.1,45
47779.8,54
47996.1,240
48024.6,240
48059.200000000004,240
48082.8,71
48120.5,240
48266.700000000004,240
48629.6,107
48690.200000000004,54
48729.700000000004,164
48731.5,150
48879.4,6
49245.200000000004,188
49289.6,148
49500.5,54
49509.5,1
49511.3,54
49512.4,45
49516.6,45
49518.4,54
49526.9,150
49545.4,100
49761.4,195
49797.6,182
49800.9,175
49849.5,150
49896.9,182
49900.700000000004,100
49900.700000000004,107
49901.8,150
49903.200000000004,100
49903.8,89
49904.0,150
49905.0,171
49905.1,93
49905.200000000004,87
49905.200000000004,193
49905.3,100
49905.9,78
49905.9,175
49906.4,150
49906.4,182
49906.9,103
49907.0,86
49907.200000000004,89
49907.6,195
49907.8,100
49908.0,125
49908.3,87
49908.4,193
49908.5,150
49909.0,97
49909.0,182
49909.200000000004,93
49909.6,59
49909.700000000004,195
49910.1,71
49910.3,65
49910.3,186
49910.4,125
49911.1,193
49911.200000000004,175
49911.4,54
49911.9,197
49912.4,71
49912.6,195
49912.700000000004,45
49912.700000000004,125
49912.8,182
49913.0,107
49913.1,100
49913.3,189
49913.4,193
49913.6,65
49913.9,54
49914.0,60
49914.3,164
49914.8,71
49915.1,45
49915.5,49
49915.6,100
49915.6,229
49915.700000000004,4
49915.9,52
49915.9,240
49916.0,54
49916.0,65
49916.200000000004,125
49916.200000000004,150
49916.3,97
49916.700000000004,84
49917.3,46
49918.4,54
49919.4,100
49919.4,107
49921.5,100
49923.200000000004,240
49923.3,49
49925.200000000004,1
49925.5,87
49925.8,240
49927.8,182
49929.200000000004,220
49934.8,54
50223.1,100
50225.4,100
50225.9,97
50227.700000000004,100
50227.8,71
50227.8,150
50228.9,89
50230.1,150
50230.1,175
50230.6,195
50230.9,71
50231.4,100
50231.700000000004,87
50232.0,125
50232.0,171
50232.200000000004,84
50232.4,193
50232.5,150
50232.700000000004,59
50233.0,89
50233.1,71
50233.200000000004,195
50233.3,65
50233.5,100
50233.6,103
50233.700000000004,113
50233.8,182
50234.0,81
50234.200000000004,125
50234.5,86
50234.6,54
50234.6,83
50235.0,188
50235.1,193
50235.200000000004,93
50235.3,87
50235.3,150
50235.4,195
50235.6,71
50235.6,89
50235.700000000004,100
50235.9,65
50236.4,97
50236.4,182
50236.4,189
50236.5,1
50236.6,107
50237.1,45
50237.1,54
50237.200000000004,188
50237.3,86
50237.3,193
50237.4,125
50237.700000000004,4
50237.8,164
50237.8,197
50237.9,83
50237.9,89
50238.0,49
50238.0,87
50238.1,93
50238.3,71
50238.4,58
50238.5,195
50238.700000000004,100
50238.8,65
50239.6,45
50239.700000000004,125
50239.8,54
50240.0,4
50240.0,150
50240.0,189
50240.3,240
50240.4,71
50240.700000000004,195
50241.0,1
50241.200000000004,65
50241.9,229
50242.200000000004,46
50242.700000000004,52
50243.1,1
50243.200000000004,71
50243.200000000004,100
50243.5,84
50244.0,93
50244.9,229
50245.1,7
50245.200000000004,97
